,starting_station,ending_station,count_of_trips,start_lat,start_lng,end_lat,end_lng
313749,Franklin St & W Broadway,West St & Liberty St,85,40.71911552,-74.00666661,40.711444,-74.014847
319537,Fulton Ave & E 168 St,Fulton Ave & E 168 St,85,40.830471,-73.904556,40.830471,-73.904556
320558,Fulton St & Adams St,Warren St & Court St,85,40.69241829257847,-73.98949474096298,40.686371,-73.99383324
320724,Fulton St & Broadway,Broadway & Morris St,85,40.711066,-74.009447,40.705945132708806,-74.01321887969969
324526,Gansevoort St & Hudson St,W 21 St & 6 Ave,85,40.73944820130404,-74.00507032871246,40.74173969,-73.99415556
329559,Grand Army Plaza & Central Park S,W 64 St & Thelonious Monk Circle,85,40.764115572,-73.974132895,40.77515953434235,-73.98918695747852
334093,Grand St & Elizabeth St,Bleecker St & Crosby St,85,40.718822,-73.99596,40.72615604980408,-73.99510189890862
337221,Great Jones St,Grand St & Elizabeth St,85,40.72743423,-73.99379025,40.718822,-73.99596
341430,Greenwich Ave & 8 Ave,University Pl & E 8 St,85,40.7390169121,-74.0026376103,40.73143724085228,-73.99490341544151
347785,Hanson Pl & Ashland Pl,Douglass St & 4 Ave,85,40.68506807308177,-73.97790759801863,40.6792788,-73.98154004
349849,Henry St & Atlantic Ave,1 Pl & Clinton St,85,40.69089272,-73.99612349,40.6809591,-73.99905709
351443,Henry St & Grand St,St James Pl & Oliver St,85,40.714211,-73.981095,40.71307916,-73.99851193
354270,Howard St & Lafayette St,Allen St & Rivington St,85,40.71910537,-73.99973337,40.72019576,-73.98997825
358881,India St & Manhattan Ave,Metropolitan Ave & Bedford Ave,85,40.73232194,-73.9550858,40.71534825,-73.96024116
358885,India St & Manhattan Ave,Milton St & Franklin St,85,40.73232194,-73.9550858,40.72906,-73.95779
377367,Lafayette Ave & St James Pl,Washington Ave & Park Ave,85,40.68851534,-73.9647628,40.69610226,-73.96751037
377741,Lafayette St & E 8 St,E 26 St & 3 Ave,85,40.73020660529954,-73.99102628231049,40.74069317733043,-73.98160636425018
386813,Lewis Ave & Kosciuszko St,Kosciuszko St & Nostrand Ave,85,40.692387581,-73.937069058,40.69072549,-73.95133465
391218,Lexington Ave & E 36 St,Broadway & E 21 St,85,40.7475739589548,-73.9788007736206,40.73988840858996,-73.98958593606949
406589,Market St & Henry St,Norfolk St & Broome St,85,40.71310702305908,-73.99446353316307,40.7172274,-73.98802084
412003,Meserole Ave & Manhattan Ave,Graham Ave & Withers St,85,40.72708584,-73.95299117,40.7169811,-73.94485918
412224,Meserole Ave & Manhattan Ave,Union Ave & N 12 St,85,40.72708584,-73.95299117,40.71924,-73.95242
413591,Metropolitan Ave & Meeker Ave,S 4 St & Wythe Ave,85,40.71413311,-73.95234386,40.71285887,-73.96590294
422195,Mott St & Prince St,Cleveland Pl & Spring St,85,40.72317958,-73.99480012,40.722103786686034,-73.99724900722504
422200,Mott St & Prince St,Clinton St & Grand St,85,40.72317958,-73.99480012,40.71559509,-73.9870295
422519,Mott St & Prince St,Norfolk St & Broome St,85,40.723092318,-73.994935274,40.7172274,-73.98802084
426297,Myrtle Ave & Marcy Ave,Emerson Pl & Myrtle Ave,85,40.695408106,-73.949701428,40.69363137,-73.96223558
429242,N 6 St & Bedford Ave,Kent Ave & Division Ave,85,40.71745169,-73.95850939,40.706563674670925,-73.9683187007904
433808,Newtown Ave & 23 St,38 St & 30 Ave,85,40.7713615,-73.9246145,40.764174520197685,-73.91583994030952
446216,Perry St & Greenwich Ave,St Marks Pl & 2 Ave,85,40.735918,-74.000939,40.7284186,-73.98713956
446468,Pier 40 - Hudson River Park,Bank St & Washington St,85,40.7277140777778,-74.01129573583603,40.7361967,-74.00859207
448412,Pike St & Monroe St,Pike St & E Broadway,85,40.71173107,-73.99193043,40.71406667,-73.99293911
450072,Plaza St East & Flatbush Ave,Classon Ave & St Marks Ave,85,40.673134,-73.969106,40.6765198,-73.9596082
451111,Pleasant Ave & E 116 St,E 114 St & 1 Ave,85,40.7949879,-73.9333349,40.7945663,-73.9362541
455164,Prospect Park West & 8 St,Berkeley Pl & 7 Ave,85,40.66514681533792,-73.97637605667114,40.675146838709786,-73.97523209452629
465375,Riverside Dr & W 72 St,W 54 St & 11 Ave,85,40.78057799010334,-73.98562431335449,40.768333,-73.992573
466704,Riverside Dr & W 91 St,Riverside Blvd & W 67 St,85,40.79313480986663,-73.97700369358063,40.777507027547976,-73.98888587951659
472129,S 4 St & Rodney St,S 3 St & Bedford Ave,85,40.70934,-73.95608,40.71260486,-73.96264403
473679,S 5 Pl & S 5 St,N 6 St & Bedford Ave,85,40.710451,-73.960876,40.71745169,-73.95850939
473778,S 5 Pl & S 5 St,Stanton St & Norfolk St,85,40.710451,-73.960876,40.720747,-73.986274
484259,Southern Blvd & E 175 St,Southern Blvd & E 175 St,85,40.839335,-73.886445,40.839335,-73.886445
486451,St James Pl & Oliver St,Canal St & Rutgers St,85,40.71307916,-73.99851193,40.71427487,-73.98990025
488782,St Marks Pl & 2 Ave,E 11 St & Avenue B,85,40.7284186,-73.98713956,40.72746420692392,-73.97950418293476
488863,St Marks Pl & 2 Ave,E 7 St & Ave C,85,40.7284186,-73.98713956,40.72412944090093,-73.97901266813278
488880,St Marks Pl & 2 Ave,E 9 St & 5 Ave,85,40.7284186,-73.98713956,40.73275887045087,-73.99581670761108
488923,St Marks Pl & 2 Ave,Grand St & Elizabeth St,85,40.7284186,-73.98713956,40.718822,-73.99596
491761,St. Nicholas Ave & W 126 St,5 Ave & W 126 St,85,40.8114323,-73.9518776,40.80722,-73.9418
500955,Suffolk St & Stanton St,E 13 St & Avenue A,85,40.72066442,-73.98517977,40.72966729392978,-73.98067966103554
502083,Sullivan St & Washington Sq,1 Ave & E 6 St,85,40.73047747,-73.99906065,40.72633085971696,-73.98616880178452
512362,University Pl & E 8 St,W 4 St & 7 Ave S,85,40.73143724085228,-73.99490341544151,40.73401143,-74.00293877
516897,Vesey Pl & River Terrace,Washington St & Barrow St,85,40.7153379,-74.01658354,40.73191132323174,-74.008769094944
517471,Vesey St & Church St,Spring St & Hudson St,85,40.712231159,-74.010642886,40.72583996792375,-74.0076532959938
519390,W 104 St & Amsterdam Ave,Columbus Ave & W 103 St,85,40.79904139288298,-73.96649479866028,40.7969347,-73.9643412291
527592,W 144 St & Adam Clayton Powell Blvd,W 144 St & Adam Clayton Powell Blvd,85,40.820872188,-73.939234138,40.820877,-73.939249
530046,W 15 St & 6 Ave,W 20 St & 7 Ave,85,40.738046142482766,-73.99642959237099,40.74238787,-73.99726235
530311,W 15 St & 7 Ave,Christopher St & Greenwich St,85,40.73935542,-73.99931783,40.73291553,-74.00711384
530510,W 15 St & 7 Ave,Lafayette St & E 8 St,85,40.73935542,-73.99931783,40.73020660529954,-73.99102628231049
534702,W 18 St & 6 Ave,9 Ave & W 18 St,85,40.73971301,-73.99456405,40.74317449,-74.00366443
535200,W 18 St & 6 Ave,W 4 St & 7 Ave S,85,40.73971301,-73.99456405,40.73401143,-74.00293877
537607,W 20 St & 7 Ave,Broadway & W 25 St,85,40.74238787,-73.99726235,40.74286877312112,-73.98918628692627
538011,W 20 St & 7 Ave,W 25 St & 6 Ave,85,40.74238787,-73.99726235,40.74395411,-73.99144871
539652,W 21 St & 6 Ave,W 55 St & 6 Ave,85,40.74173969,-73.99415556,40.763189,-73.978434
542633,W 25 St & 6 Ave,W 41 St & 8 Ave,85,40.74395411,-73.99144871,40.75640548,-73.9900262
543375,W 26 St & 8 Ave,8 Ave & W 27 St,85,40.74734825,-73.99723551,40.747968,-73.996637
543380,W 26 St & 8 Ave,8 Ave & W 52 St,85,40.747611165,-73.997716546,40.76370739,-73.9851615
543849,W 26 St & 8 Ave,W 22 St & 8 Ave,85,40.74734825,-73.99723551,40.74475148,-73.99915362
544360,W 27 St & 7 Ave,Lexington Ave & E 26 St,85,40.746647,-73.993915,40.741459,-73.983293
