,date,avgTemp
344698,2022-01-06,4.9
1788560,2022-02-03,6.4
1267573,2022-02-28,0.8
1059316,2022-02-13,2.8
168381,2022-01-01,11.6
194567,2022-01-15,-6.7
3091213,2022-03-29,-1.2
26888045,2022-11-15,4.9
470493,2022-01-08,-2.5
4516756,2022-04-27,11.6
29398856,2022-12-11,3.4
503726,2022-01-09,1.4
28609058,2022-12-16,6.2
777645,2022-01-10,1.6
1927068,2022-02-18,9.9
7804590,2022-05-08,10.4
1336495,2022-02-21,4.1
3450067,2022-03-04,-1.9
729031,2022-01-17,3.9
26123116,2022-11-10,12.6
1712380,2022-02-26,-1.1
8808242,2022-05-06,14.8
192201,2022-01-28,0.1
4212084,2022-04-17,8.3
29838355,2022-12-27,-0.7
658052,2022-01-30,-7.1
29431859,2022-12-25,-6.9
753922,2022-01-20,5.1
2158791,2022-02-14,-4.3
29050534,2022-12-21,1.0
1086069,2022-02-15,-4.7
175506,2022-01-07,0.7
640048,2022-01-31,-3.4
985710,2022-01-11,-5.4
825981,2021-12-31,
393878,2022-01-29,-4.8
134850,2021-12-29,
243440,2021-11-16,
1099488,2021-12-19,
2278343,2021-04-30,
834170,2021-12-30,
1887411,2021-12-08,
2167335,2021-03-14,
546228,2021-12-26,
10829245,2021-03-11,
1895593,2021-08-16,
